,Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
97,Altstadt,51.2259125,6.7735672,Fortunabüdchen,51.233565893180554,6.771388802718941,Convenience Store
98,Altstadt,51.2259125,6.7735672,sattgrün mitte,51.218915623497665,6.776016161533448,Vegetarian / Vegan Restaurant
99,Altstadt,51.2259125,6.7735672,Decathlon,51.2271206,6.7855658,Sporting Goods Shop
100,Carlstadt,51.2221416,6.7733942,YOMARO Frozen Yogurt,51.22311,6.773122,Frozen Yogurt Shop
101,Carlstadt,51.2221416,6.7733942,Markt am Carlsplatz,51.22368479867202,6.773209328018992,Farmers Market
102,Carlstadt,51.2221416,6.7733942,Carlsplatz,51.22342930873389,6.773586273193359,Plaza
103,Carlstadt,51.2221416,6.7733942,Concept Riesling,51.223224,6.773722,Wine Bar
104,Carlstadt,51.2221416,6.7733942,Cøffe,51.223104,6.772765,Coffee Shop
105,Carlstadt,51.2221416,6.7733942,Hinkel Bäckerei,51.22120887362895,6.774214475792827,Bakery
106,Carlstadt,51.2221416,6.7733942,Rösterei VIER,51.22453580793739,6.773703152622268,Coffee Shop
107,Carlstadt,51.2221416,6.7733942,Bäckerei Hinkel,51.22394768045429,6.774250776633675,Bakery
108,Carlstadt,51.2221416,6.7733942,Bob & Mary,51.22385189154984,6.772771705743288,Burger Joint
109,Carlstadt,51.2221416,6.7733942,Pure Freude,51.221958484267375,6.7736423789471445,Dessert Shop
110,Carlstadt,51.2221416,6.7733942,Rheinuferpromenade,51.22527547797048,6.7702036453461725,Pedestrian Plaza
111,Carlstadt,51.2221416,6.7733942,InterContinental,51.2205117,6.7781539,Hotel
112,Carlstadt,51.2221416,6.7733942,Rheinufer,51.22111788042267,6.767457773523959,Pedestrian Plaza
113,Carlstadt,51.2221416,6.7733942,Eis-Café Pia,51.224925,6.775671,Ice Cream Shop
114,Carlstadt,51.2221416,6.7733942,HeimWerk,51.223812,6.772016,German Restaurant
115,Carlstadt,51.2221416,6.7733942,Bistro Zicke,51.22251420772141,6.769603223151463,Bistro
116,Carlstadt,51.2221416,6.7733942,Uerige,51.22509973234009,6.7723058742430755,Brewery
117,Carlstadt,51.2221416,6.7733942,Rösterei VIER,51.2259403326246,6.77229423124051,Coffee Shop
118,Carlstadt,51.2221416,6.7733942,Marktplatz,51.22580218652285,6.772154305014243,Plaza
119,Carlstadt,51.2221416,6.7733942,Casa Cortilla,51.22365658829238,6.773593641167449,Italian Restaurant
120,Carlstadt,51.2221416,6.7733942,Dauser,51.223366024918896,6.773230538185606,German Restaurant
121,Carlstadt,51.2221416,6.7733942,Casa Luigi,51.22113289898645,6.773842314665407,Italian Restaurant
122,Carlstadt,51.2221416,6.7733942,Massimo Dutti,51.22147133825084,6.779518969149714,Clothing Store
123,Carlstadt,51.2221416,6.7733942,Weinlokal Galerie am Karlplatz,51.223123460460805,6.7725626038938,Wine Bar
124,Carlstadt,51.2221416,6.7733942,Mayur - Indisches Restaurant,51.22279834099231,6.774170666023358,Indian Restaurant
125,Carlstadt,51.2221416,6.7733942,Casita Mexicana,51.22667595657295,6.775478313848207,Mexican Restaurant
126,Carlstadt,51.2221416,6.7733942,Elephant Bar,51.226851117516176,6.772635564857534,Cocktail Bar
127,Carlstadt,51.2221416,6.7733942,Bar Chérie,51.22688575573609,6.772423969578811,Bar
128,Carlstadt,51.2221416,6.7733942,Copenhagen Coffee Lab,51.22315052523695,6.775887691597403,Café
129,Carlstadt,51.2221416,6.7733942,sattgrün mitte,51.218915623497665,6.776016161533448,Vegetarian / Vegan Restaurant
130,Carlstadt,51.2221416,6.7733942,Kö-Park,51.21978550680772,6.779041877703946,Park
131,Carlstadt,51.2221416,6.7733942,Em Pöötzke,51.226611900559924,6.773679155964425,Jazz Club
132,Carlstadt,51.2221416,6.7733942,Brauerei Kürzer,51.226973302442296,6.773422923701495,Brewery
133,Carlstadt,51.2221416,6.7733942,Ständehauspark,51.21703597540774,6.774812821806415,Park
134,Carlstadt,51.2221416,6.7733942,dm-drogerie markt,51.22336836249688,6.7744630234673195,Drugstore
135,Carlstadt,51.2221416,6.7733942,Manufactum,51.223189301985755,6.780333913536733,Furniture / Home Store
136,Carlstadt,51.2221416,6.7733942,Mayersche Buchhandlung,51.22552185408208,6.779896440003761,Bookstore
137,Carlstadt,51.2221416,6.7733942,Hausbrauerei „Zum Schlüssel“,51.226286776878666,6.774697240396217,Brewery
138,Carlstadt,51.2221416,6.7733942,Fischhaus,51.224920084494336,6.772400095490635,Seafood Restaurant
139,Carlstadt,51.2221416,6.7733942,Ham-Ham,51.226893966146996,6.772957671789372,BBQ Joint
140,Carlstadt,51.2221416,6.7733942,Franzen,51.22377507595272,6.77918154618295,Furniture / Home Store
